"Sample_ID","observed_richness","shannon","simpson","inv_simpson","evenness","Kit.ID","sample_location","Zipcode","County","read_depth"
"12_P",155,2.57597856956599,0.8795789772,8.30419786137209,0.510759753510431,12,"Tail piece",27603,"Wake",299611
"12_Y",160,2.79387678076979,0.9045905876,10.481146197689,0.55049873806954,12,"Countertop",27603,"Wake",316713
"29_P",145,2.29468893569623,0.8045900894,5.11744771250103,0.461083323814737,29,"Tail piece",27278,"Orange",640843
"29_Y",145,2.70556507050494,0.9071456622,10.7695560992951,0.543642720413853,29,"Countertop",27278,"Orange",441558
"34_1_P",131,2.50042998404914,0.8701818332,7.70308212363387,0.512887954739709,34,"Tail piece",27278,"Orange",440017
"34_1_Y",92,1.16040202856973,0.5434675438,2.19042476919081,0.256624565434021,34,"Countertop",27278,"Orange",390680
"34_2_P",196,2.89609058863956,0.9117828702,11.3356669194195,0.548697930154812,34,"Tail piece",27278,"Orange",212893
"34_2_Y",111,0.971142077447909,0.5437263432,2.19166718283351,0.206207845779882,34,"Countertop",27278,"Orange",187406
"44_P",150,2.77300129801646,0.8983850404,9.84107068424205,0.553423096125901,44,"Tail piece",27701,"Durham",402236
"44_Y",125,2.17564179667695,0.785783078,4.66816529088211,0.450600751121144,44,"Countertop",27701,"Durham",681333
"56_P",144,2.46918483503224,0.8301289446,5.88681807883793,0.496836538153837,56,"Tail piece",27701,"Durham",347302
"56_Y",160,2.69343892713809,0.8744406202,7.96435918680764,0.530708705789221,56,"Countertop",27701,"Durham",237707
"58_P",155,2.6617208778069,0.8818099,8.46094554450838,0.527760562732971,58,"Tail piece",27701,"Durham",284738
"58_Y",164,2.56509319461149,0.855835819,6.93653578207474,0.502972623090024,58,"Countertop",27701,"Durham",222576
"65_P",149,2.15896977593183,0.7778027406,4.50050555394024,0.431453425742527,65,"Tail piece",28401,"New Hanover",507510
"65_Y",144,2.49424240791478,0.8744010346,7.96184902332006,0.501878492724781,65,"Countertop",28401,"New Hanover",539353
"70_P",144,2.45801364010544,0.8608009694,7.18395807563907,0.494588728376406,70,"Tail piece",27603,"Wake",482034
"70_Y",167,2.22290458816981,0.7961585622,4.90577387401062,0.434331237911391,70,"Countertop",27603,"Wake",275731
"8_P",165,2.59107202149219,0.8751385516,8.00887714193775,0.50746174919741,8,"Tail piece",28301,"Cumberland",320347
"8_Y",135,1.57591211399251,0.5625653238,2.286055620206,0.321268875888374,8,"Countertop",28301,"Cumberland",435680
