"Sample_ID","Personal_care_degrader","Moisture_lover","Disinfectant_survivalist","Odor_producer","Skin_commuter","Oral_commuter","Kit.ID","sample_location","County","Zipcode"
"12_P",48.29,97.32,51.99,10.37,10.46,0.3,12,"Tail piece","Wake",27603
"12_Y",49.61,86.08,38.78,24.71,25.07,0.13,12,"Countertop","Wake",27603
"29_P",70.33,89.19,59.08,41.24,41.28,0.03,29,"Tail piece","Orange",27278
"29_Y",46.67,86.76,52.86,27.29,27.29,0.34,29,"Countertop","Orange",27278
"34_1_P",56.29,75.61,26.31,3.31,3.5,0.02,34,"Tail piece","Orange",27278
"34_1_Y",85.72,95.81,95.45,84.85,84.85,0.95,34,"Countertop","Orange",27278
"34_2_P",40.77,82.45,37.74,1.27,1.73,0.05,34,"Tail piece","Orange",27278
"34_2_Y",51.16,98.21,51.65,0.31,0.39,0.35,34,"Countertop","Orange",27278
"44_P",53.27,85.1,35.12,23.21,23.21,0.53,44,"Tail piece","Durham",27701
"44_Y",81.68,94.87,59.58,45.55,45.74,0.04,44,"Countertop","Durham",27701
"56_P",65.51,91.77,73.84,54.66,54.73,0.21,56,"Tail piece","Durham",27701
"56_Y",71.04,94.45,37.14,20.51,20.71,1.1,56,"Countertop","Durham",27701
"58_P",45.23,80.26,35.9,8.47,8.67,0.05,58,"Tail piece","Durham",27701
"58_Y",67.48,98.2,53.85,39.12,39.32,0.68,58,"Countertop","Durham",27701
"65_P",84.43,96.18,78.58,55.17,55.2,0.44,65,"Tail piece","New Hanover",28401
"65_Y",56.97,91.43,44.95,28.07,28.07,0.27,65,"Countertop","New Hanover",28401
"70_P",47.22,73.8,39.97,30.02,30.06,0.45,70,"Tail piece","Wake",27603
"70_Y",67.24,97.15,85.69,28.81,29.02,0.36,70,"Countertop","Wake",27603
"8_P",64.33,81.97,56.82,26.27,26.59,0.11,8,"Tail piece","Cumberland",28301
"8_Y",81.31,89.29,78.47,66.97,67,0.15,8,"Countertop","Cumberland",28301
