"Sample_ID","Personal_care_degrader","Moisture_lover","Disinfectant_survivalist","Odor_producer","Skin_commuter","Oral_commuter","Kit.ID","sample_location","County","Zipcode","Personal_care_degrader_percentile","Moisture_lover_percentile","Disinfectant_survivalist_percentile","Odor_producer_percentile","Skin_commuter_percentile","Oral_commuter_percentile"
"12_P",48.29,97.32,51.99,10.37,10.46,0.3,12,"Tail piece","Wake",27603,40,100,60,40,40,70
"29_P",70.33,89.19,59.08,41.24,41.28,0.03,29,"Tail piece","Orange",27278,90,70,80,80,80,20
"34_1_P",56.29,75.61,26.31,3.31,3.5,0.02,34,"Tail piece","Orange",27278,60,20,10,20,20,10
"34_2_P",40.77,82.45,37.74,1.27,1.73,0.05,34,"Tail piece","Orange",27278,10,50,40,10,10,40
"44_P",53.27,85.1,35.12,23.21,23.21,0.53,44,"Tail piece","Durham",27701,50,60,20,50,50,100
"56_P",65.51,91.77,73.84,54.66,54.73,0.21,56,"Tail piece","Durham",27701,80,80,90,90,90,60
"58_P",45.23,80.26,35.9,8.47,8.67,0.05,58,"Tail piece","Durham",27701,20,30,30,30,30,40
"65_P",84.43,96.18,78.58,55.17,55.2,0.44,65,"Tail piece","New Hanover",28401,100,90,100,100,100,80
"70_P",47.22,73.8,39.97,30.02,30.06,0.45,70,"Tail piece","Wake",27603,30,10,50,70,70,90
"8_P",64.33,81.97,56.82,26.27,26.59,0.11,8,"Tail piece","Cumberland",28301,70,40,70,60,60,50
